id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""|THE NOT CO|Aderezo Notmayo Picante Notco 325gr|327.0|||||Almacén > Aderezos > Mayonesas|643132-512-512|aderezo-notmayo-picante-notco-325-gr/p
""|DANICA|Mayonesa Danica Red Lip D´fiesta 250cc|69.0|||||Almacén > Aderezos > Mayonesas|606994-512-512|mayonesa-danica-red-lip-d-fiesta-250-cc/p
""|ARYTZA|Mayonesa Arytza Sin Tacc x 340gr|299.0|||||Almacén > Aderezos > Mayonesas|552153-512-512|mayonesa-arytza-sin-tacc-x340gr/p
""|ARYTZA|Mayonesa Arytza Con Ajo 340gr|360.0|||||Almacén > Aderezos > Mayonesas|639725-512-512|mayonesa-arytza-con-ajo-340gr/p
""|THE NOT CO|Aderezo Notmayo Original Notco 325gr|261.0|||||Almacén > Aderezos > Mayonesas|667692-512-512|aderezo-notmayo-original-notco-325-gr/p
""|CADA DIA|Mayonesa Cada Dia Light 250gr|55.0|||||Almacén > Aderezos > Mayonesas|499731-512-512|mayonesa-cada-dia-light-250-gr/p
""|MOLTO|Mayonesa Molto|114.0|||||Almacén > Aderezos > Mayonesas|454082-512-512|mayonesa-molto-2/p
""|D'FIESTA|Mayonesa D'fiesta x 500cc -pch- cc .-500|122.0|||||Almacén > Aderezos > Mayonesas|251582-512-512|mayonesa-d-fiesta-x500cc/p
""|FRITOLIM|Aceite Girasol Clásico En Aerosol Fritolim x 120gr|174.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|614695-512-512|aceite-girasol-clasico-en-aerosol-fritolim-x120-gr/p
""|""|""|0|||||Almacén > Aceites y Vinagres > Aceites Comunes||""
""|COCINERO|Aceite De Girasol Cocinero 900ml|138.16|||||Almacén > Aceites y Vinagres > Aceites Comunes|614663-512-512|aceite-cocinero-girasol-2/p
""|CAÑUELAS|Aceite Cañuelas De Girasol - 1,1lt|220.68|||||Almacén > Aceites y Vinagres > Aceites Comunes|427642-512-512|aceite-canuelas-de-girasol-1-5-l/p
""|NATURA|Aceite De Girasol Natura 900ml|148.56|||||Almacén > Aceites y Vinagres > Aceites Comunes|190195-512-512|aceite-natura-de-girasol-x-900-cc/p
""|COCINERO|Aceite De Girasol Cocinero 1,1lt|220.68|||||Almacén > Aceites y Vinagres > Aceites Comunes|614743-512-512|aceite-de-girasol-cocinero-1-5-l/p
""|CUISINE & CO NBE MP|Aceite De Girasol 120gr Cuisine & Co|179.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|601152-512-512|aceite-de-girasol-120-gr-cuisine-co/p
""|CAÑUELAS|Aceite De Girasol Cañuelas 900ml|138.16|||||Almacén > Aceites y Vinagres > Aceites Comunes|210381-512-512|aceite-canuelas-de-girasol-x-900-ml/p
""|ALSAMAR|Aceite Girasol Alsamar x 1,5lt|204.05|||||Almacén > Aceites y Vinagres > Aceites Comunes|624348-512-512|aceite-girasol-alsamar-x-1-5l/p
""|PUREZA|Aceite Pureza Omega9 900cc|241.39|||||Almacén > Aceites y Vinagres > Aceites Comunes|617365-512-512|aceite-pureza-omega9-900cc/p
""|CUISINE & CO NBE MP|Aceite De Girasol Cuisine & Co 1,5lt|199.36|||||Almacén > Aceites y Vinagres > Aceites Comunes|601231-512-512|aceite-de-girasol-cuisine-co-1-5l/p
""|LIRA|Aceite De Girasol Lira x 900ml|227.7|||||Almacén > Aceites y Vinagres > Aceites Comunes|614835-512-512|aceite-de-girasol-lira-x-900-ml/p
""|PRIMOR|Aceite Girasol Primor 1,5lt|187.58|||||Almacén > Aceites y Vinagres > Aceites Comunes|574459-512-512|aceite-girasol-primor-1-5-l/p
""|FRITOLIM|Aceite Girasol Sabor Manteca En Aerosol Fritolim x 120gr|174.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|614688-512-512|aceite-girasol-sabor-manteca-en-aerosol-fritolim-x120-gr/p
""|NATURA|Aceite Natura De Girasol 500ml|87.82|||||Almacén > Aceites y Vinagres > Aceites Comunes|194938-512-512|aceite-natura-de-girasol-500-ml/p
