departamento|categoria|subcategoria|url
Perfumería|Cuidado Personal|Quitaesmaltes|https://www.jumbo.com.ar/perfumeria/cuidado-personal/quitaesmaltes
Perfumería|Cuidado Personal|Higiene Preventiva|https://www.jumbo.com.ar/perfumeria/cuidado-personal/higiene-preventiva
Perfumería|Cuidado de la Piel|Cremas Corporales|https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/cremas-corporales
Perfumería|Cuidado de la Piel|Cremas Desmaquillantes|https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/cremas-desmaquillantes
Perfumería|Cuidado de la Piel|Cremas Faciales|https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/cremas-faciales
Perfumería|Cuidado de la Piel|Solares y Post-Solares|https://www.jumbo.com.ar/perfumeria/cuidado-de-la-piel/solares-y-post-solares
Perfumería|Cuidado Oral|Pastas Dentales|https://www.jumbo.com.ar/perfumeria/cuidado-oral/pastas-dentales
Perfumería|Cuidado Oral|Cepillos Dentales|https://www.jumbo.com.ar/perfumeria/cuidado-oral/cepillos-dentales
Perfumería|Cuidado Oral|Enjuagues Bucales|https://www.jumbo.com.ar/perfumeria/cuidado-oral/enjuagues-bucales
Perfumería|Cuidado Oral|Accesorios Dentales|https://www.jumbo.com.ar/perfumeria/cuidado-oral/accesorios-dentales
Perfumería|Farmacia|Algodón|https://www.jumbo.com.ar/perfumeria/farmacia/algodon
Perfumería|Farmacia|Alcohol|https://www.jumbo.com.ar/perfumeria/farmacia/alcohol
Perfumería|Farmacia|Apósitos|https://www.jumbo.com.ar/perfumeria/farmacia/apositos
Perfumería|Farmacia|Preservativos|https://www.jumbo.com.ar/perfumeria/farmacia/preservativos
Perfumería|Farmacia|Otros|https://www.jumbo.com.ar/perfumeria/farmacia/otros
Perfumería|Maquillaje|Ojos|https://www.jumbo.com.ar/perfumeria/maquillaje/ojos
Perfumería|Maquillaje|Rostro|https://www.jumbo.com.ar/perfumeria/maquillaje/rostro
Perfumería|Maquillaje|Cuidado de Uñas|https://www.jumbo.com.ar/perfumeria/maquillaje/cuidado-de-unas
Perfumería|Maquillaje|Labios|https://www.jumbo.com.ar/perfumeria/maquillaje/labios
Perfumería|Maquillaje|Accesorios|https://www.jumbo.com.ar/perfumeria/maquillaje/accesorios
Limpieza|Accesorios de Limpieza|Baldes y Mopas|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/baldes-y-mopas
Limpieza|Accesorios de Limpieza|Bolsas|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/bolsas
Limpieza|Accesorios de Limpieza|Broches y Ganchos|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/broches-y-ganchos
Limpieza|Accesorios de Limpieza|Escobas y Escobillones|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/escobas-y-escobillones
Limpieza|Accesorios de Limpieza|Escobillas|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/escobillas
Limpieza|Accesorios de Limpieza|Esponjas y Guantes|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/esponjas-y-guantes
Limpieza|Accesorios de Limpieza|Palas y Cabos|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/palas-y-cabos
Limpieza|Accesorios de Limpieza|Paños Multiusos|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/panos-multiusos
Limpieza|Accesorios de Limpieza|Secadores y Cepillos|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/secadores-y-cepillos
Limpieza|Accesorios de Limpieza|Trapos de Piso|https://www.jumbo.com.ar/limpieza/accesorios-de-limpieza/trapos-de-piso
Limpieza|Calzado|Brillos y Revividores|https://www.jumbo.com.ar/limpieza/calzado/brillos-y-revividores
Limpieza|Calzado|Limpiadores|https://www.jumbo.com.ar/limpieza/calzado/limpiadores
Limpieza|Calzado|Pomadas Para Calzado|https://www.jumbo.com.ar/limpieza/calzado/pomadas-para-calzado
Limpieza|Cuidado Para La Ropa|Aprestos y Blanqueadores|https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/aprestos-y-blanqueadores
Limpieza|Cuidado Para La Ropa|Cepillo Para Ropa|https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/cepillo-para-ropa
Limpieza|Cuidado Para La Ropa|Jabón en Pan|https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/jabon-en-pan
Limpieza|Cuidado Para La Ropa|Detergente Para Ropa|https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/detergente-para-ropa
Limpieza|Cuidado Para La Ropa|Quitamanchas|https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/quitamanchas
Limpieza|Cuidado Para La Ropa|Suavizantes|https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/suavizantes
Limpieza|Cuidado Para La Ropa|Perfumantes|https://www.jumbo.com.ar/limpieza/cuidado-para-la-ropa/perfumantes
Limpieza|Desodorantes de Ambiente|Absorbe Humedad|https://www.jumbo.com.ar/limpieza/desodorantes-de-ambiente/absorbe-humedad
Limpieza|Desodorantes de Ambiente|Aromatizantes|https://www.jumbo.com.ar/limpieza/desodorantes-de-ambiente/aromatizantes
Limpieza|Desodorantes de Ambiente|Desodorantes y Desinfectantes|https://www.jumbo.com.ar/limpieza/desodorantes-de-ambiente/desodorantes-y-desinfectantes
Limpieza|Insecticidas|Aerosoles|https://www.jumbo.com.ar/limpieza/insecticidas/aerosoles
Limpieza|Insecticidas|Aparatos|https://www.jumbo.com.ar/limpieza/insecticidas/aparatos
Limpieza|Insecticidas|Cebos, Bolillas y Pastillas|https://www.jumbo.com.ar/limpieza/insecticidas/cebos-bolillas-y-pastillas
Limpieza|Insecticidas|Polvos y Líquidos|https://www.jumbo.com.ar/limpieza/insecticidas/polvos-y-liquidos
Limpieza|Insecticidas|Repelentes|https://www.jumbo.com.ar/limpieza/insecticidas/repelentes
Limpieza|Insecticidas|Tabletas y Difusores|https://www.jumbo.com.ar/limpieza/insecticidas/tabletas-y-difusores
Limpieza|Lavandina|-|https://www.jumbo.com.ar/limpieza/lavandina
Limpieza|Limpieza de Baño|Desinfectantes|https://www.jumbo.com.ar/limpieza/limpieza-de-bano/desinfectantes
Limpieza|Limpieza de Baño|Destapa Cañerías|https://www.jumbo.com.ar/limpieza/limpieza-de-bano/destapa-canerias
Limpieza|Limpieza de Baño|Pastillas y Bloques|https://www.jumbo.com.ar/limpieza/limpieza-de-bano/pastillas-y-bloques
Limpieza|Limpieza de Cocina|Detergentes|https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/detergentes
Limpieza|Limpieza de Cocina|Escarbadientes|https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/escarbadientes
Limpieza|Limpieza de Cocina|Fósforos|https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/fosforos
Limpieza|Limpieza de Cocina|Limpiadores|https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/limpiadores
Limpieza|Limpieza de Cocina|Limpiavidrios|https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/limpiavidrios
Limpieza|Limpieza de Cocina|Productos Para Lavavajillas|https://www.jumbo.com.ar/limpieza/limpieza-de-cocina/productos-para-lavavajillas
Limpieza|Limpieza de Pisos y Muebles|Ceras y Autobrillos|https://www.jumbo.com.ar/limpieza/limpieza-de-pisos-y-muebles/ceras-y-autobrillos
