COD.PROD;PRODUCTO;TOTAL;;0
3088;BURGOL JOSE LOPEZ FINO            X500GR;1634;0,00116224546193115;0,710744638504425
29072;SOPA KNORR CREMA CHOCLO -            XUN;1611;0,0011458858256861;0,711890524330111
1327;GALLETA BAGLEY TRAVIATA -8722-    X303GR;1594;0,00113379392063541;0,713024318250746
21001;SAL DOS ESTRELLAS FINA            X500GR;1589;0,00113023747797344;0,71415455572872
11017;ARVEJA INCA                       X350GR;1571;0,00111743428439035;0,71527199001311
77292;VINO FRIZZE EVOLUTION BLUE -14270-X750CC;1549;0,00110178593667769;0,716373775949788
13135;LIMP.LIQ.POETT LAVANDA    -2615-  X900CC;1544;0,00109822949401573;0,717472005443803
13206;DETERGENTE ALA LIMON -            X750CC;1534;0,00109111660869179;0,718563122052495
13601;SUAVIZANTE BORITA AROMA SOL -1004-X900CC;1533;0,0010904053201594;0,719653527372654
17633;PAPEL HIG.CAMPANITA CLAS.30MT PROMO- XUN;1533;0,0010904053201594;0,720743932692814
6315;PICADILLO CHANGUITO CARNE          X90GR;1523;0,00108329243483546;0,721827225127649
20479;JABON POLVO ALA MATIC VIV.VIOL.MULT.X400;1514;0,00107689083804392;0,722904115965693
77104;JUGO CLIGHT NARANJA -             X9.7GR;1507;0,00107191181831716;0,72397602778401
3389;REBOZADOR PREFERIDO-2690-         X500GR;1503;0,00106906666418759;0,725045094448198
28329;DULCE LECHE GJA.DE ORO FAMIL-40300-X250G;1503;0,00106906666418759;0,726114161112386
9194;FIDEO LA PROVIDENCIA MOSTACHOL-   X500GR;1494;0,00106266506739605;0,727176826179782
90299;YOGUR RAMOLAC ENT.PO.FRUTILLA -   X140GR;1493;0,00106195377886365;0,728238779958645
17111;PAÐAL BABYSEC ULTRA GDE.C/BARRERA   X9UN;1469;0,00104488285408621;0,729283662812731
20933;JABON POLVO ZORRO REG.BOLSA PROMO.X400G;1462;0,00103990383435945;0,730323566647091
36026;QUESO RALLADO CHELITA CAJA         X40GR;1460;0,00103848125729466;0,731362047904386
17891;PAÐAL BABYSEC ULTRA EX.GDE.C/BA-4198-X8U;1460;0,00103848125729466;0,73240052916168
17106;PAÐAL BABYSAN MEDIANO -3381-      X10UN;1429;0,00101643131279046;0,733416960474471
8359;TURRON ARCOR -4013-                X25GR;1418;0,00100860713893413;0,734425567613405
77095;JUGO CLIGHT MANZANA DELICIOSA-      X8GR;1416;0,00100718456186935;0,735432752175274
