categoria	rubro	id	producto	titulo	unidad	detalle	sku	imagen	regla_1	precio_1	regla_2	precio_2	regla_3	precio_3
Fiambreria	Fiambre cocido	150	http://tatito.com.ar/producto/fiambre-coc-goggi-et-negra/	Fiambre Cocido Goggi Etiqueta Negra 	100 gr	Ejemplo:/Cantidad '5'ù corresponde a 500 grs. del Producto.-	965	http://tatito.com.ar/wp-content/uploads/2019/11/fiambre-cocido-goggi-et-negra.jpg	1-2	0	$	1		
Limpieza	Varios	206	http://tatito.com.ar/producto/fibra-esp-make-lisa/	Fibra Esponja Make Lisa	1 un		2739	http://tatito.com.ar/wp-content/uploads/2020/01/FIBRA-ESP-mAKE-LISA.jpg	1-2	18.5	3+	15.87		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-chicago-guis-500g-s-iva/	Fideos Chicago Guiseros 	500 gr		4799	http://tatito.com.ar/wp-content/uploads/2020/01/defau lt.jpg	1-2	42	3+	36.45		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-chicago-rosca-s-iva/	Fideos Chicago Rosca			189148	http://tatito.com.ar/wp-content/uploads/2020/01/defau lt.jpg	1-2	50	3+	41.6		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-la-providencia-spaguetti-500-gr/	Fideos La Providencia  Spaguetti 	500 gr		103122	http://tatito.com.ar/wp-content/uploads/2020/04/FIDEOS-LA-PROVIDENCIA-SPAG-500.jpg	1-2	45	3+	37.86		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-la-providencia-nido-tagliatelle-x-500-gr/	Fideos La Providencia Nido Tagliatelle 	500 gr		111337	http://tatito.com.ar/wp-content/uploads/2020/05/FIDEOS-LA-PROVIDENCIA-NIDO-500..jpg	1-2	52	3+	44		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-la-tuc-500gr/	Fideos La Tucumanita 	500 gr		2101	http://tatito.com.ar/wp-content/uploads/2020/01/defau lt.jpg	1-2	64.99	3+	56		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-parradin-500gr/	Fideos Parradin 	500 gr		4734	http://tatito.com.ar/wp-content/uploads/2020/01/defau lt.jpg	1-2	39	3+	33.8		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-rivoli-gui-sop-500g-s-iva/	Fideos Rivoli Guisero/Sopero 	500 gr		4806	http://tatito.com.ar/wp-content/uploads/2020/01/FIDEO-RIVOLI-TALLARIN-NODO-S-IVA.jpg	1-2	55	3+	46.8		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-rivoli-espec-500g-s-iva/	Fideos Rivoli MoÒito 	500 gr		1973	http://tatito.com.ar/wp-content/uploads/2020/01/FIDEO-RIVOLI-TALLARIN-NODO-S-IVA.jpg	1-2	65	3+	57.2		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-spaghetti-terrabusi-x-500-grs/	Fideos Spaghetti Terrabusi 	500 gr		4746	http://tatito.com.ar/wp-content/uploads/2020/04/spaghetti-terrabusi-500.jpg	1-2	56	3+	48.02		
AlmacÈn	Fideos	92	http://tatito.com.ar/producto/fideos-verizzia-guisero-s-iva/	Fideos Verizzia Guisero	500 gr		103412	http://tatito.com.ar/wp-content/uploads/2020/01/FIDEOS-VERIZZIA-GUISERO-S-IVA.jpg	1-2	39	3+	35		
AlmacÈn	Postres	162	http://tatito.com.ar/producto/flan-godet-vainilla-30gr/	Flan Godet  Vainilla  	30 gr		3439	http://tatito.com.ar/wp-content/uploads/2020/01/FLAN-GODET-VAINILLA-30GR.jpg	1-2	29.6	3+	25.65		
AlmacÈn	Postres	162	http://tatito.com.ar/producto/flan-godet-d-de-leche-30-grs/	Flan Godet Dulce De Leche 	30 gr		192178	http://tatito.com.ar/wp-content/uploads/2020/01/FLAN-GODET-D-DE-LECHE-30-GRS.jpg	1-2	29.6	3+	25.65		
Lacteos	Flan	215	http://tatito.com.ar/producto/flan-manfrey-120gr/	Flan Manfrey 	120 gr		3451	http://tatito.com.ar/wp-content/uploads/2020/01/FLAN-mANFREY-120GR.jpg	1-2	35	3+	31.02		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-azucaradas-arcor-80gr/	Galletas Azucaradas Arcor 	80 gr		5390	http://tatito.com.ar/wp-content/uploads/2020/01/GALL-AZUCARADAS-ARCOR-80GR.jpg	1-2	23.5	3+	20.07		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-bagley-salv-de-3-x214gr/	Galletas Bagley Salvado 	3 x 214 gr		5536	http://tatito.com.ar/wp-content/uploads/2020/01/GALL-BAGLEY-SALV-DE-3-X214GR.jpg	1-2	138	3+	120.93		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-bagley-salvado-de-214gr/	Galletas Bagley Salvado De 	214 gr		2192	http://tatito.com.ar/wp-content/uploads/2020/01/GALL-BAGLEY-SALVADO-DE-214GR.jpg	1-2	58	3+	50.23		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/galletas-chocolinas-100-grs-bagley/	Galletas Chocolinas 	100 gr		111213	http://tatito.com.ar/wp-content/uploads/2020/01/GALL-CHOCOLINAS-170G-BAGLEY-3.jpg	1-2	39	3+	39		
