nombre|precio|imagen|rubro|id
Cafe Dolca Instantaneo Suave 50 Grs.|100.74|http://tatito.com.ar/wp-content/uploads/2019/11/cafe-dolca-suave-50g.jpg|- Café|0088
Cafe Dolca Instantaneo Suave 100 grs.|167.19|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-DOLCA-SUAVE-100G.jpg|- Café|0089
Cafe la Virginia Cl?sico 170 Grs. Vidrio|235.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-LA-VIRG-170GR-CLA-VIDRIO.jpg|- Café|0090
Cafe la Virginia Clasico Instantaneo 100 Grs.|155.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-LA-VIRG-INST-100GR-CLA.jpg|- Café|0091
Cafe Arlistan Suave 50 Grs.|100.0|http://tatito.com.ar/wp-content/uploads/2019/11/cafe-arlistan-50g.jpg|- Café|0092
Cafe Villa Rica 125 Grs.|62.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Café|0093
Cafe La Virginia en Sobres (5 Grs.)|135.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-LA-VIRG-5GR-SOBRE.jpg|- Café|0094
CAFE LA MORENITA  SAQ 20*5GR|127.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-LA-MORENITA-SAQ-20-5GR.jpg|- Café|0095
Caballa Bahia en agua y aceite 425 gr.|174.4|http://tatito.com.ar/wp-content/uploads/2020/05/caballa-bahia-425.jpg|- Enlatados|0096
Atun Bahia 170 GR|79.0|http://tatito.com.ar/wp-content/uploads/2020/05/atun-bahia-170g.jpg|- Enlatados|0097
Sardinas en aceite Marbella 120 gr.|100.0|http://tatito.com.ar/wp-content/uploads/2020/05/sardina-marbella-120g.jpg|- Enlatados|0098
Durazno en lata Precursor x 820 gr.|103.5|http://tatito.com.ar/wp-content/uploads/2020/05/durazno-precursor-820g.jpg|- Enlatados|0099
Choclo Bahia x 200 grs.|65.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Enlatados|0100
CHOCLO INALPA GRANO AMARI X 360 GR|48.0|http://tatito.com.ar/wp-content/uploads/2020/01/CHOCLO-INALPA-GRANO-AMARI-X-360-GR.jpg|- Enlatados|0101
Arvejas Arcor  Secas 300 Grs.|46.0|http://tatito.com.ar/wp-content/uploads/2020/01/ARVEJAS-ARCOR-SECAS-300-GR.jpg|- Enlatados|0102
CHOCLO ARCOR ENTERO 310G|89.0|http://tatito.com.ar/wp-content/uploads/2020/01/CHOCLO-ARCOR-ENTERO-310G.jpg|- Enlatados|0103
CABALLA MARBELLA AL AC/NAT 425GR|150.0|http://tatito.com.ar/wp-content/uploads/2020/01/CABALLA-MARBELLA-AL-AC-Y-NAT-425GR.jpg|- Enlatados|0104
ARVEJAS INALPA  350GR|24.89|http://tatito.com.ar/wp-content/uploads/2020/01/ARVEJAS-INALPA-350GR.jpg|- Enlatados|0105
Picadillo La Negra Carne 90 grs.|27.8|http://tatito.com.ar/wp-content/uploads/2020/01/PICADILLO-LA-NEGRA-CARNE-90.jpg|- Enlatados|0106
Fideos La Providencia Nido Tagliatelle x 500 gr.|52.0|http://tatito.com.ar/wp-content/uploads/2020/05/FIDEOS-LA-PROVIDENCIA-NIDO-500..jpg|- Fideos|0107
Fideos Spaghetti Terrabusi x 500 grs|56.0|http://tatito.com.ar/wp-content/uploads/2020/04/spaghetti-terrabusi-500.jpg|- Fideos|0108
FIDEOS LA PROVIDENCIA  SPAGUETTI 500 GR|45.0|http://tatito.com.ar/wp-content/uploads/2020/04/FIDEOS-LA-PROVIDENCIA-SPAG-500.jpg|- Fideos|0109
FIDEOS VERIZZIA GUISERO|39.0|http://tatito.com.ar/wp-content/uploads/2020/01/FIDEOS-VERIZZIA-GUISERO-S-IVA.jpg|- Fideos|0110
Fideos Chicago Rosca|50.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Fideos|0111
FIDEOS LA TUCUMANITA 500GR|58.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Fideos|0112
FIDEOS RIVOLI GUISERO/SOPERO 500G.|55.0|http://tatito.com.ar/wp-content/uploads/2020/01/FIDEO-RIVOLI-TALLARIN-NODO-S-IVA.jpg|- Fideos|0113
FIDEOS CHICAGO GUISEROS 500G|42.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Fideos|0114
FIDEOS PARRADIN 500GR|39.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Fideos|0115
Galletas de Arroz All Rice Limon x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-limon.jpg|- Gall. Dulces y Saladas|0116
Galletas de Arroz All Rice Sin Sal x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-sin-sal.jpg|- Gall. Dulces y Saladas|0117
Galletas de Arroz All Rice Naranja x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-naranja.jpg|- Gall. Dulces y Saladas|0118
Galletas de Arroz All Rice Dulces x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-dulce.jpg|- Gall. Dulces y Saladas|0119
Galletas de Arroz All Rice Con Sal x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2019/11/GALLETA-ALL-RICE-X-100-GR.jpg|- Gall. Dulces y Saladas|0120
Harina Graciela  Real 0000 1 Kg.|52.0|http://tatito.com.ar/wp-content/uploads/2020/06/harina-graciela-real-0000.jpg|- Harinas|0121
