"";"X";"dep";"cat";"sub";"url"
"174";174;"Electro";"Pequeños Electros";"Pequeños Electros de Hogar";"https://www.jumbo.com.ar/electro/pequenos-electros/pequenos-electros-de-hogar"
"175";175;"Electro";"Pequeños Electros";"Salud";"https://www.jumbo.com.ar/electro/pequenos-electros/salud"
"176";176;"Electro";"Pequeños Electros";"Cafeteras y Molinillos";"https://www.jumbo.com.ar/electro/pequenos-electros/cafeteras-y-molinillos"
"177";177;"Electro";"Teléfonos";"Celulares";"https://www.jumbo.com.ar/electro/telefonos/celulares"
"178";178;"Electro";"Teléfonos";"Teléfonos Fijos";"https://www.jumbo.com.ar/electro/telefonos/telefonos-fijos"
"179";179;"Electro";"Teléfonos";"Accesorios de Celulares";"https://www.jumbo.com.ar/electro/telefonos/accesorios-de-celulares"
"180";180;"Frutas y Verduras";"Frutas";"Frutas Empaquetadas";"https://www.jumbo.com.ar/frutas-y-verduras/frutas/frutas-empaquetadas"
"181";181;"Frutas y Verduras";"Frutas";"Frutas Secas y Desecadas";"https://www.jumbo.com.ar/frutas-y-verduras/frutas/frutas-secas-y-desecadas"
"182";182;"Frutas y Verduras";"Frutas";"Frutas Sueltas";"https://www.jumbo.com.ar/frutas-y-verduras/frutas/frutas-sueltas"
"183";183;"Frutas y Verduras";"Verduras";"Hortalizas Livianas";"https://www.jumbo.com.ar/frutas-y-verduras/verduras/hortalizas-livianas"
"184";184;"Frutas y Verduras";"Verduras";"Hortalizas Pesadas";"https://www.jumbo.com.ar/frutas-y-verduras/verduras/hortalizas-pesadas"
"185";185;"Frutas y Verduras";"Verduras";"Verduras Empaquetadas";"https://www.jumbo.com.ar/frutas-y-verduras/verduras/verduras-empaquetadas"
"186";186;"Frutas y Verduras";"Verduras";"Verduras Frescas de Hoja";"https://www.jumbo.com.ar/frutas-y-verduras/verduras/verduras-frescas-de-hoja"
"187";187;"Frutas y Verduras";"Verduras";"Verduras Procesadas y Ensaladas Listas";"https://www.jumbo.com.ar/frutas-y-verduras/verduras/verduras-procesadas-y-ensaladas-listas"
"188";188;"Frutas y Verduras";"Verduras";"Verduras Secas y Desecadas";"https://www.jumbo.com.ar/frutas-y-verduras/verduras/verduras-secas-y-desecadas"
"189";189;"Frutas y Verduras";"Hierbas Aromáticas y Plantines";"-";"https://www.jumbo.com.ar/frutas-y-verduras/hierbas-aromaticas-y-plantines"
"190";190;"Frutas y Verduras";"Huevos";"-";"https://www.jumbo.com.ar/frutas-y-verduras/huevos"
