nombre|precio|url_producto|url_imagen|rubro|id
TAPA PARA EMPANADAS LA TUCUMANITA X12 UN.|41.0|http://tatito.com.ar/producto/tapa-p-emp-la-tuc-12un/|/2020/01/TAPA-PARA-EMPANADA-LA-TUC.12UN.jpg|Frescos y Congelados > Tapas|00670
TAPA PARA EMPANADAS MADOMI X12 UN.|42.0|http://tatito.com.ar/producto/tapa-madomi-p-emp/|/2020/01/TAPA-MADOMI-P-EMP.jpg|Frescos y Congelados > Tapas|00671
Galletas de Arroz All Rice Limon x 100 grs.|58.0|http://tatito.com.ar/producto/galletas-all-rice-arroz-integral-limon-x-100-grs/|/2020/05/galletas-all-rice-limon.jpg|Almacén > Gall. Dulces y Saladas|00448
Galletas de Arroz All Rice Sin Sal x 100 grs.|58.0|http://tatito.com.ar/producto/galletas-all-rice-sin-sal-x-100-grs/|/2020/05/galletas-all-rice-sin-sal.jpg|Almacén > Gall. Dulces y Saladas|00449
Galletas de Arroz All Rice Naranja x 100 grs.|58.0|http://tatito.com.ar/producto/galletas-all-rice-naranja-x-100-grs/|/2020/05/galletas-all-rice-naranja.jpg|Almacén > Gall. Dulces y Saladas|00450
Galletas de Arroz All Rice Dulces x 100 grs.|58.0|http://tatito.com.ar/producto/galletas-all-rice-dulces-x-100-grs/|/2020/05/galletas-all-rice-dulce.jpg|Almacén > Gall. Dulces y Saladas|00451
Galletas de Arroz All Rice Con Sal x 100 grs.|58.0|http://tatito.com.ar/producto/galleta-all-rice-x-100-gr/|/2019/11/GALLETA-ALL-RICE-X-100-GR.jpg|Almacén > Gall. Dulces y Saladas|00452
Arroz Peleador Largo Fino x 500 grs.|36.0|http://tatito.com.ar/producto/arroz-peleador-largo-fino-x-500-grs/|/2020/05/arroz-peleador-500.jpg|Almacén > Arroz|00402
Arroz Gallo Oro 1 Kg.|127.0|http://tatito.com.ar/producto/arroz-gallo-oro-b1-kg-s-iva/|/2020/01/ARROZ-GALLO-ORO-B1-KG.jpg|Almacén > Arroz|00403
Arroz Noble Largo Fino 500 Grs.|43.5|http://tatito.com.ar/producto/arroz-noble-lf-500g-s-iva/|/2020/01/ARROZ-NOBLE-LF-500G.jpg|Almacén > Arroz|00404
Arroz Gallo Oro Amarillo 500 Grs.|69.0|http://tatito.com.ar/producto/arroz-gallo-oro-ama-500gr/|/2020/01/ARROZ-GALLO-ORO-AMA-500GR.jpg|Almacén > Arroz|00405
ARROZ LUCHADOR 4/0 500GR|35.0|http://tatito.com.ar/producto/arroz-luchador-4-0-500gr-s-iva/|/2019/11/arroz-luchador-500.jpg|Almacén > Arroz|00406
Harina Graciela  Real 0000 1 Kg.|52.0|http://tatito.com.ar/producto/harina-graciela-real-0000-1-kg/|/2020/06/harina-graciela-real-0000.jpg|Almacén > Harinas|00453
Harina Graciela  Real 000 1 Kg.|44.0|http://tatito.com.ar/producto/har-gra-real-000-1kg/|/2020/01/HAR-GRA-REAL-000-1KG.jpg|Almacén > Harinas|00454
HARINA REINA ANA 000 X1 KG.|39.0|http://tatito.com.ar/producto/har-reina-ana-000-x1-kg-s-iva/|/2019/11/HAR-REINA-ANA-000.jpg|Almacén > Harinas|00455
HARINA CELESTIAL 0000 X KG|60.0|http://tatito.com.ar/producto/har-celestial-0000-x-kg-s-iva/|/2020/01/HAR-CELESTIAL-0000-X-KG.jpg|Almacén > Harinas|00456
Harina Celestial 000 X1 Kg.|45.0|http://tatito.com.ar/producto/har-celestial-000-x1kg-s-iva/|/2020/01/HAR-CELESTIAL-000-X1KG.jpg|Almacén > Harinas|00457
Flan Manfrey 120Gr|33.0|http://tatito.com.ar/producto/flan-manfrey-120gr/|/2020/01/FLAN-MANFREY-120GR.jpg|Lacteos > Flan|00695
Aceite Natura girasol x 500 ml.|68.0|http://tatito.com.ar/producto/aceite-natura-girasol-x-500-ml/|/2020/06/aceite-natura-girasol-x500.jpg|Almacén > Aceites|00521
Aceite Vicentin Girasol 4.5 Lts.|499.2|http://tatito.com.ar/producto/aceite-vicentin-girasol-4-5lt-s-iva/|/2020/01/ACEITE-VICENTIN-GIRASOL-4500cc.jpg|Almacén > Aceites|00522
